DM: Ch1 (Dev1) [Volts],BB: Ch2 (Dev1) [Volts],ACC: Ch3 (Dev1) [Volts],ACC: Ch4 (Dev1) [g],ACC: Ch5 (Dev1) [g],ACC: Ch6 (Dev1) [g]
3.733933e-006,-1.634096e-005,3.918879e-005,2.332425e+000,1.934326e+000,1.540274e+000
4.543405e-006,-1.407444e-005,3.918879e-005,2.330968e+000,1.934002e+000,1.539788e+000
2.438779e-006,-6.627303e-006,3.886500e-005,2.330482e+000,1.933840e+000,1.541731e+000
-2.135969e-005,9.885918e-006,3.854121e-005,2.331130e+000,1.932221e+000,1.542379e+000
-2.330242e-005,9.400234e-006,3.918879e-005,2.331291e+000,1.930278e+000,1.540274e+000
-1.569339e-005,5.514771e-006,3.902689e-005,2.329996e+000,1.930764e+000,1.538817e+000
-7.598670e-006,-1.446685e-006,3.854121e-005,2.327892e+000,1.929955e+000,1.539465e+000
1.296191e-005,-6.303515e-006,3.773174e-005,2.328053e+000,1.930602e+000,1.539141e+000
1.037160e-005,-7.598670e-006,3.837932e-005,2.328539e+000,1.930602e+000,1.539141e+000
1.344759e-005,-4.198888e-006,3.837932e-005,2.329511e+000,1.929469e+000,1.538817e+000
