Frame;Sub Frame;LAX;LAY;LAZ;LHX;LHY;LHZ;LKX;LKY;LKZ;RAX;RAY;RAZ;RHX;RHY;RHZ;RKX;RKY;RKZ
114;0;1.61189;-12.7111;36.0774;-8.29955;-1.37244;-13.3735;21.5336;-4.55883;-18.6492;-3.21497;-1.96751;7.51542;21.0555;6.66924;-11.9527;10.8232;-2.77305;-5.87088
115;0;-1.32872;-12.6449;35.9403;-7.5635;-1.82844;-13.4445;23.6223;-4.77705;-18.2825;-2.86929;-1.97716;7.55045;20.3392;6.83468;-12.0971;10.8015;-2.70004;-5.82325
116;0;-4.50998;-12.4965;35.6315;-6.72471;-2.26409;-13.52;25.8374;-5.01897;-17.8819;-2.49998;-2.02993;7.74189;19.6284;6.96328;-12.3087;10.7583;-2.62333;-5.8579
117;0;-7.83389;-12.2604;35.1345;-5.78701;-2.67324;-13.6002;28.1654;-5.28922;-17.4584;-2.11928;-2.11858;8.06308;18.9212;7.05891;-12.5622;10.6868;-2.54616;-5.96685
118;0;-11.1676;-11.9353;34.4395;-4.75537;-3.04944;-13.6861;30.5922;-5.59348;-17.0192;-1.73518;-2.23411;8.48092;18.2138;7.12793;-12.8313;10.5818;-2.47206;-6.13783
119;0;-14.3569;-11.5291;33.5535;-3.63669;-3.38734;-13.7741;33.1002;-5.93256;-16.5762;-1.35488;-2.36776;8.96306;17.502;7.1766;-13.0901;10.4383;-2.40307;-6.35875
120;0;-17.2459;-11.058;32.5008;-2.43732;-3.68211;-13.8619;35.6709;-6.3066;-16.1422;-0.981444;-2.50958;9.47325;16.7822;7.21219;-13.3113;10.2537;-2.34072;-6.61579
121;0;-19.6942;-10.5423;31.3176;-1.16607;-3.93009;-13.9413;38.2821;-6.70923;-15.7343;-0.616214;-2.65133;9.98161;16.0531;7.2392;-13.4803;10.0297;-2.28462;-6.89357
122;0;-21.595;-10.003;30.0451;0.16832;-4.12799;-14.0064;40.9093;-7.13217;-15.3678;-0.25942;-2.78602;10.4631;15.3145;7.26099;-13.5827;9.7695;-2.23394;-7.18091
123;0;-22.8794;-9.45809;28.7233;1.55679;-4.27307;-14.0488;43.5265;-7.56249;-15.0591;0.0898587;-2.90851;10.8997;14.5682;7.27778;-13.6145;9.4796;-2.18613;-7.46548
124;0;-23.5258;-8.92195;27.387;2.98976;-4.36491;-14.0595;46.1033;-7.98354;-14.8262;0.433469;-3.01431;11.2757;13.8184;7.28959;-13.5774;9.16788;-2.13898;-7.73563
125;0;-23.5476;-8.40425;26.0632;4.45771;-4.40252;-14.0324;48.6085;-8.37941;-14.6844;0.772374;-3.10258;11.5886;13.0693;7.29385;-13.4792;8.84308;-2.08999;-7.98676
126;0;-22.9906;-7.91027;24.7698;5.95039;-4.38573;-13.9625;51.0074;-8.73385;-14.6449;1.1089;-3.17238;11.8356;12.3264;7.28722;-13.3316;8.51516;-2.03723;-8.20959
127;0;-21.9261;-7.44455;23.5237;7.45764;-4.31662;-13.8499;53.2648;-9.03359;-14.7183;1.44356;-3.22609;12.0253;11.5956;7.26737;-13.1509;8.19274;-1.9797;-8.40286
128;0;-20.4453;-7.01205;22.3437;8.9687;-4.19744;-13.6962;55.3432;-9.26865;-14.9124;1.77717;-3.26589;12.1657;10.8818;7.23172;-12.9509;7.88311;-1.91665;-8.56577
129;0;-18.6466;-6.61667;21.2461;10.4723;-4.03021;-13.5087;57.2078;-9.43647;-15.2259;2.10991;-3.29614;12.2723;10.1899;7.17801;-12.75;7.59343;-1.84877;-8.69914
130;0;-16.6369;-6.26571;20.2571;11.9574;-3.81929;-13.2985;58.8251;-9.53917;-15.6579;2.44209;-3.31913;12.3532;9.5231;7.1063;-12.5592;7.32752;-1.77737;-8.80284
131;0;-14.5183;-5.9646;19.3979;13.4131;-3.56856;-13.0788;60.1659;-9.58367;-16.1989;2.77304;-3.3392;12.4239;8.88442;7.01665;-12.388;7.08859;-1.70427;-8.88272
