percent;lankleangx;lankleangx_sd;lankleangy;lankleangy_sd;lankleangz;lankleangz_sd;lhipangx;lhipangx_sd;lhipangy;lhipangy_sd;lhipangz;lhipangz_sd;lkneeangx;lkneeangx_sd;lkneeangy;lkneeangy_sd;lkneeangz;lkneeangz_sd
11;-12.14302427;2.67528527;3.654440293;3.813812741;11.16593502;2.862789037;7.698960965;2.948034557;2.498275606;5.306684004;31.52401045;5.020847061;4.958439861;3.837470453;-9.909715512;5.561325137;38.17475346;4.519295865
12;-12.10890777;2.782590728;3.2327433;3.817607098;12.907259;2.880584765;8.056729751;2.928025583;2.116219899;5.214738229;31.19363594;5.078941773;4.722207399;3.839902653;-9.082845922;5.458755832;40.04191058;4.463204969
13;-12.01582573;2.899220341;2.875944093;3.806960027;14.52357643;2.873689197;8.267877758;2.867087261;1.803844456;5.072080746;30.70236431;5.129051159;4.555002276;3.812487493;-8.348814695;5.374872002;41.46812507;4.422459265
14;-11.91036997;3.0242726;2.593967516;3.786741916;16.00661063;2.852434582;8.304132909;2.775507635;1.616421659;4.928222201;30.05389302;5.174690171;4.518684619;3.785235437;-7.748555658;5.307380716;42.48140049;4.402147362
15;-11.80565528;3.152594471;2.405579334;3.762462774;17.35669994;2.823708264;8.160640974;2.675472117;1.581617029;4.822660196;29.25901066;5.217943842;4.637697794;3.786225926;-7.313546778;5.249898679;43.12527875;4.402409958
16;-11.69345399;3.276671886;2.321193695;3.740889917;18.57326422;2.791123765;7.858175946;2.591868222;1.693520124;4.770923891;28.33038943;5.259551757;4.893345327;3.828708845;-7.049293673;5.201990288;43.44299998;4.42055961
17;-11.55712825;3.389600071;2.334391838;3.7281223;19.64808941;2.755245866;7.437925501;2.541497976;1.919177427;4.76253131;27.27926799;5.300226792;5.233118807;3.906470636;-6.932960293;5.168669496;43.46876104;4.45277202
18;-11.38073507;3.487263686;2.423060444;3.726122923;20.56291086;2.715458718;6.950427749;2.528102414;2.212731057;4.770787592;26.11411789;5.340693603;5.588849764;4.000574987;-6.922818859;5.153772125;43.22577803;4.495388345
19;-11.15323349;3.569185005;2.557359377;3.731407793;21.29066052;2.673305458;6.443340029;2.545370382;2.528801053;4.768176397;24.84083939;5.3811844;5.89464333;4.091290705;-6.97290248;5.155722079;42.72872857;4.5456756
20;-10.8682057;3.638644177;2.710519271;3.737683602;21.79998922;2.636420617;5.952181632;2.582843352;2.830056551;4.737639228;23.46391078;5.420762307;6.099265494;4.165753122;-7.045669092;5.168470056;41.98836817;4.602060702
21;-10.52116651;3.701307276;2.868296055;3.739729863;22.06127862;2.620608575;5.496249046;2.629874181;3.088880992;4.675060285;21.98876435;5.457266965;6.172031994;4.217898466;-7.118657229;5.184545894;41.01653222;4.663626079
